dataset,split,m,seed,k,ndcg_at_10,mrr_at_10,candidate_recall_at_k,reranked_recall_at_100,delta_ndcg10_vs_projected_exact,delta_ci95_low,delta_ci95_high,pq_search_mean_ms,rerank_p50_ms,code_bytes_per_doc,serialized_index_bytes
fiqa,validation,96,42,100,0.3875150609258211,0.4718301587301587,0.5961669941169941,0.5961669941169941,-0.006094855177519487,-0.012244093108641515,-8.674590240856545e-05,0.4249602002091706,0.0532,96,6221462
fiqa,validation,96,42,200,0.39074607151615975,0.4723063492063492,0.6710364690864691,0.6504809135309135,-0.002863844587180843,-0.0071543177030917535,0.0011569681906834816,0.45356500009074807,0.0637,96,6221462
fiqa,strict_confirmatory,96,42,20,0.3493219938393747,0.4403751469723692,0.4175003237503238,0.4175003237503238,-0.030797127304454094,-0.04331572498285713,-0.019037897715789166,0.418677160381282,0.0133,96,6221462
fiqa,strict_confirmatory,96,42,50,0.36140180600325716,0.4442362335880854,0.509341575776761,0.509341575776761,-0.01871731514057161,-0.02786547941448934,-0.009879873006919442,0.4273040125284482,0.0206,96,6221462
fiqa,strict_confirmatory,96,42,100,0.377736190922918,0.4552426268861455,0.5896129633398152,0.5896129633398152,-0.002382930220910819,-0.008596901150332402,0.0034602881786407816,0.4278850309797965,0.03065,96,6221462
fiqa,strict_confirmatory,96,42,200,0.3807978035611172,0.45627204585537917,0.6737784335006557,0.6523946603807714,0.0006786824172884227,-0.002227654845981636,0.0035391854502484304,0.42167453693202983,0.07205,96,6221462
nfcorpus,validation,32,42,20,0.25785869906598263,0.4809609543405839,0.1212351079833992,0.1212351079833992,-0.052065919907863425,-0.06801361091079089,-0.036745404135425964,0.019047530741649277,0.03055,32,804470
nfcorpus,validation,32,42,50,0.28437866221400326,0.4892146776406035,0.17799641200754904,0.17799641200754904,-0.025545956759842815,-0.03761630752328648,-0.014395580170190797,0.018746913324489637,0.03745,32,804470
nfcorpus,validation,32,42,100,0.29745253274525685,0.49492087987458355,0.23871787817092285,0.23871787817092285,-0.01247208622858922,-0.021076797007320673,-0.004820498551030279,0.0197404318627108,0.0484,32,804470
nfcorpus,validation,32,42,200,0.30665336996317305,0.5101619145600628,0.3100855385874632,0.26247918686670235,-0.0032712490106730167,-0.007649438214923232,0.000566337463115113,0.021881789664657397,0.0895,32,804470
nfcorpus,strict_confirmatory,32,42,20,0.27253646973994045,0.46325495110324827,0.13249025641597248,0.13249025641597248,-0.054493845468092654,-0.07041188090972603,-0.03974008901282436,0.017320433049102316,0.0231,32,804470
