encoder,d,d_pub,d_priv,scheme,n,seed,condition,evaluated_queries,view,linkage_method,n_queries,top1,top5,top10,mrr,median_rank,mean_rank,auc,note
e5-small,384,96,288,cell_C64,2000,11,noise_0.01,1000,residual,residual_norm_rank_assignment,1000,0.094,,,,,,,one-to-one monotone assignment; only top-1 is defined
e5-small,384,96,288,cell_C64,2000,11,noise_0.01,1000,full_server,public_prefix_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,2000,11,noise_0.01,1000,residual,gram_signature_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,2000,11,noise_0.01,1000,residual,nn_graph_signature_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,2000,11,noise_0.01,1000,residual,combined_invariants_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,2000,11,noise_0.01,1000,full_server,combined_prefix_invariants_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,2000,11,noise_0.01,1000,residual,known_anchor_ip_0.01,989,0.25985844287158744,0.4115267947421638,0.5338725985844287,0.35496742826856204,9.0,12.556117290192113,0.5409225443477852,
e5-small,384,96,288,cell_C64,2000,11,noise_0.01,1000,residual,known_anchor_ip_0.1,898,0.9064587973273942,0.9320712694877505,0.9398663697104677,0.9204209259048722,1.0,2.2806236080178173,0.9190606693419179,
e5-small,384,96,288,microkey_perdoc,2000,11,clean,1000,residual,cell_label_chance_control,1000,0.0005000000000000002,0.0025,0.005,0.00408918405180514,1000.5,1000.5,0.5,analytic chance level given disclosed cell labels
e5-small,384,96,288,microkey_perdoc,2000,11,clean,1000,residual,residual_norm_nn,1000,0.279,0.849,0.99,0.5068957181707182,2.0,3.17,0.9988585,
e5-small,384,96,288,microkey_perdoc,2000,11,clean,1000,residual,residual_norm_rank_assignment,1000,1.0,,,,,,,one-to-one monotone assignment; only top-1 is defined
e5-small,384,96,288,microkey_perdoc,2000,11,clean,1000,full_server,public_prefix_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
