suite,encoder,dataset,n_corpus,n_queries,dimension,score_max_abs_error,top10_exact_fraction,top100_exact_fraction,method,ndcg10,recall10,recall100
beir,multilingual-e5-base,scifact,5183,300,768,5.043671880144984e-07,1.0,0.96,corrected_shard_centered_router_dpub192_kc100,0.6348140619832509,0.7670000000000001,0.8870000000000001
beir,multilingual-e5-base,scifact,5183,300,768,5.043671880144984e-07,1.0,0.96,corrected_shard_uncentered_router_dpub192_kc100,0.6370761681032935,0.7670000000000001,0.8979999999999999
beir,multilingual-e5-base,scifact,5183,300,768,5.043671880144984e-07,1.0,0.96,legacy_hybrid_dpub192_kc200,0.6380878337947589,0.7703333333333334,0.91
beir,multilingual-e5-base,scifact,5183,300,768,5.043671880144984e-07,1.0,0.96,corrected_shard_centered_router_dpub192_kc200,0.6380878337947589,0.7703333333333334,0.91
beir,multilingual-e5-base,scifact,5183,300,768,5.043671880144984e-07,1.0,0.96,corrected_shard_uncentered_router_dpub192_kc200,0.6370761681032935,0.7670000000000001,0.915
beir,multilingual-e5-base,nfcorpus,3633,323,768,4.885838441603951e-07,0.9938080495356038,0.8637770897832817,raw,0.3268519109169606,0.1585764389648086,0.2869507395011091
beir,multilingual-e5-base,nfcorpus,3633,323,768,4.885838441603951e-07,0.9938080495356038,0.8637770897832817,old_centered_full,0.30531817145057855,0.14364844242302713,0.27784550177348516
beir,multilingual-e5-base,nfcorpus,3633,323,768,4.885838441603951e-07,0.9938080495356038,0.8637770897832817,corrected_full,0.3268519109169606,0.1585764389648086,0.2869507395011091
beir,multilingual-e5-base,nfcorpus,3633,323,768,4.885838441603951e-07,0.9938080495356038,0.8637770897832817,old_centered_half_pca,0.30437892118589743,0.1433510617083279,0.2791523225321015
beir,multilingual-e5-base,nfcorpus,3633,323,768,4.885838441603951e-07,0.9938080495356038,0.8637770897832817,corrected_half_pca,0.32683430827684573,0.15710312398758625,0.29209794277031426
beir,multilingual-e5-base,nfcorpus,3633,323,768,4.885838441603951e-07,0.9938080495356038,0.8637770897832817,legacy_hybrid_dpub96_kc100,0.32174129512532657,0.15314318126382018,0.2634375990729662
beir,multilingual-e5-base,nfcorpus,3633,323,768,4.885838441603951e-07,0.9938080495356038,0.8637770897832817,corrected_shard_centered_router_dpub96_kc100,0.32174129512532657,0.15314318126382018,0.2634375990729662
beir,multilingual-e5-base,nfcorpus,3633,323,768,4.885838441603951e-07,0.9938080495356038,0.8637770897832817,corrected_shard_uncentered_router_dpub96_kc100,0.3231221979011547,0.15633709274148985,0.2787564423319622
beir,multilingual-e5-base,nfcorpus,3633,323,768,4.885838441603951e-07,0.9938080495356038,0.8637770897832817,legacy_hybrid_dpub96_kc200,0.32248281924378935,0.15507106538941443,0.2779926464746139
beir,multilingual-e5-base,nfcorpus,3633,323,768,4.885838441603951e-07,0.9938080495356038,0.8637770897832817,corrected_shard_centered_router_dpub96_kc200,0.32248281924378935,0.15507106538941443,0.2779926464746139
beir,multilingual-e5-base,nfcorpus,3633,323,768,4.885838441603951e-07,0.9938080495356038,0.8637770897832817,corrected_shard_uncentered_router_dpub96_kc200,0.3247586178299482,0.15688351169853262,0.28836999898987264
beir,multilingual-e5-base,nfcorpus,3633,323,768,4.885838441603951e-07,0.9938080495356038,0.8637770897832817,legacy_hybrid_dpub192_kc100,0.3267827266995994,0.1580185667668035,0.27596179280287597
beir,multilingual-e5-base,nfcorpus,3633,323,768,4.885838441603951e-07,0.9938080495356038,0.8637770897832817,corrected_shard_centered_router_dpub192_kc100,0.3267827266995994,0.1580185667668035,0.27596179280287597
beir,multilingual-e5-base,nfcorpus,3633,323,768,4.885838441603951e-07,0.9938080495356038,0.8637770897832817,corrected_shard_uncentered_router_dpub192_kc100,0.32667400442461864,0.15850641715964348,0.295501837099791
beir,multilingual-e5-base,nfcorpus,3633,323,768,4.885838441603951e-07,0.9938080495356038,0.8637770897832817,legacy_hybrid_dpub192_kc200,0.3262223851555823,0.15785755601858187,0.2889154376130765
beir,multilingual-e5-base,nfcorpus,3633,323,768,4.885838441603951e-07,0.9938080495356038,0.8637770897832817,corrected_shard_centered_router_dpub192_kc200,0.3262223851555823,0.15785755601858187,0.2889154376130765
beir,multilingual-e5-base,nfcorpus,3633,323,768,4.885838441603951e-07,0.9938080495356038,0.8637770897832817,corrected_shard_uncentered_router_dpub192_kc200,0.32684972288589953,0.1585764389648086,0.2910075788236246
beir,multilingual-e5-base,arguana,8674,1401,768,3.870434954755808e-07,0.9885795860099929,0.9043540328336902,raw,0.3457650276755434,0.6952177016416845,0.9550321199143469
beir,multilingual-e5-base,arguana,8674,1401,768,3.870434954755808e-07,0.9885795860099929,0.9043540328336902,old_centered_full,0.26599715561979265,0.5603140613847252,0.8786581013561742
beir,multilingual-e5-base,arguana,8674,1401,768,3.870434954755808e-07,0.9885795860099929,0.9043540328336902,corrected_full,0.3457304998062626,0.6952177016416845,0.9550321199143469
beir,multilingual-e5-base,arguana,8674,1401,768,3.870434954755808e-07,0.9885795860099929,0.9043540328336902,old_centered_half_pca,0.2638737244566951,0.5553176302640971,0.8786581013561742
