suite,encoder,dataset,epsilon,sigma,privacy,ndcg10,ndcg10_ci95_low,ndcg10_ci95_high,recall10,recall10_ci95_low,recall10_ci95_high,recall100,recall100_ci95_low,recall100_ci95_high,score_pearson,score_pearson_ci95_low,score_pearson_ci95_high,score_rmse,score_rmse_ci95_low,score_rmse_ci95_high,clean_top10_overlap,clean_top10_overlap_ci95_low,clean_top10_overlap_ci95_high
beir,multilingual-e5-base,arguana,256.0,0.10865852949393662,formal_bounded_record_dp,0.005820412948484055,0.0035891142258393707,0.008718555680623371,0.013085891030216512,0.008327385201046872,0.018320247442303116,0.07042588627171069,0.059957173447537475,0.08089459909588388,0.19956379100473817,0.19608876252059512,0.20395668999485164,0.5202516494965994,0.5197830272742834,0.5207334957507668,0.014061384725196288,0.01234832262669522,0.01577444682369736
beir,multilingual-e5-base,arguana,512.0,0.0723951243591535,formal_bounded_record_dp,0.01664166398109217,0.011686836433525782,0.022192177811544676,0.03021651201522722,0.022840827980014276,0.0383059719248156,0.15655484177968118,0.14251724958363074,0.17154413514156552,0.30610727352151057,0.30248985886383334,0.30999570981829894,0.4209878346376344,0.42059625698927394,0.42141251666500623,0.04342136569117297,0.03951939091125386,0.04763323816321674
beir,multilingual-e5-base,arguana,1024.0,0.049054348512207455,formal_bounded_record_dp,0.055511574983483955,0.046577719485605115,0.06478915511087768,0.10611467999048299,0.0927849155365215,0.11991434689507492,0.3495122531525101,0.3278551034975018,0.37044967880085655,0.45423488522001476,0.4506450587130206,0.4575898318169774,0.309877422546855,0.3095705469578147,0.3102084530805867,0.13959076849869143,0.13411789198191768,0.14525398524863195
beir,multilingual-e5-base,arguana,2048.0,0.03364862959799442,formal_bounded_record_dp,0.1365294184508498,0.12592858293201287,0.148330115362685,0.27718296454913155,0.25576374018558173,0.29812633832976443,0.636212229359981,0.6159885795860099,0.656435879133952,0.6285963371607964,0.625740480273697,0.6311557066284021,0.20452077378821576,0.20431547143595646,0.2047430441118874,0.3084225553176303,0.3011420413990007,0.3148959076849869
beir,multilingual-e5-base,arguana,4096.0,0.023285155746839942,formal_bounded_record_dp,0.22557347385857188,0.21253663982837326,0.2391094689250876,0.4715679276707114,0.4453901974779919,0.4989293361884368,0.8279800142755175,0.8082262669521769,0.8477337615988579,0.782866492438393,0.7810669223377112,0.784639990304308,0.12187747673317677,0.12174679282143372,0.12202026924487652,0.49010230787532716,0.48210623364263616,0.498147156792767
beir,multilingual-e5-base,arguana,8192.0,0.01621503157066274,formal_bounded_record_dp,0.28447000181272436,0.27113707933947956,0.2973670216134757,0.5895788722341185,0.5638829407566024,0.6152748037116346,0.9117297168689031,0.8983999524149415,0.9245836307399475,0.885087325053103,0.8841067209216131,0.8861672402973221,0.06733037703778967,0.0672627250343605,0.06740627274731803,0.6388056150368784,0.631523316678563,0.6460623364263621
beir,multilingual-e5-base,arguana,16384.0,0.011342138868479306,formal_bounded_record_dp,0.3179199573779364,0.3046161491739794,0.33211729051033545,0.6516773733047823,0.6264513442778967,0.6773733047822984,0.9326671425172496,0.9200571020699501,0.9443254817987152,0.9417315624441261,0.9411899834588527,0.9422743262734071,0.03559451938498865,0.03555665561352234,0.03563601390245835,0.7456340709017368,0.7395895788722341,0.7518683083511778
beir,multilingual-e5-base,arguana,32768.0,0.007958795070825649,formal_bounded_record_dp,0.3328247754458419,0.3194010324657522,0.3467663769533255,0.6768974541993814,0.6526290744706161,0.7009279086366881,0.9421841541755889,0.9300499643112062,0.953604568165596,0.9708663450288827,0.970572960941396,0.9711733844507364,0.01849743729001348,0.018476355380587783,0.018521928097506517,0.8186771353794908,0.8138472519628835,0.8235795860099929
beir,multilingual-e5-base,nfcorpus,inf,0.0,nonprivate,0.3268519109169606,0.2919965520836298,0.3596515452153237,0.1585764389648086,0.13286815575606525,0.18429222734323414,0.2869507395011091,0.25677883195525986,0.31572994630137463,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
beir,multilingual-e5-base,nfcorpus,0.5,16.1152530766871,formal_bounded_record_dp,0.009324453831740827,0.005498353729729931,0.013962462172716896,0.0018823856500410116,0.0010815072808331907,0.002920998964759465,0.02246076469949631,0.018089925915096717,0.027928645432081733,0.004757425968563699,-0.004019598437005015,0.01959315977503084,0.7587232965268634,0.7565752445645577,0.7608935921200268,0.0033023735810113523,0.001238390092879257,0.005781733746130018
