suite,encoder,dataset,epsilon,sigma,gallery_size,chance_r1,chance_r10,linkage_r1,linkage_r1_ci95_low,linkage_r1_ci95_high,linkage_r10,linkage_r10_ci95_low,linkage_r10_ci95_high,pairwise_auc_contribution,pairwise_auc_contribution_ci95_low,pairwise_auc_contribution_ci95_high
beir,multilingual-e5-small,arguana,16.0,0.73722405290227,5000,0.0002,0.002,0.0013020833333333333,0.0,0.0078125,0.020833333333333332,0.0078125,0.0390625,0.6666666666666666,0.6400492350260416,0.6944213867187499
beir,multilingual-e5-small,arguana,32.0,0.43237492535347166,5000,0.0002,0.002,0.005208333333333333,0.0,0.01953125,0.045572916666666664,0.027343749999999997,0.06640625,0.77197265625,0.74698486328125,0.797039794921875
beir,multilingual-e5-small,arguana,64.0,0.26380843334171206,5000,0.0002,0.002,0.045572916666666664,0.027343749999999997,0.06640625,0.14453125,0.11328125,0.1796875,0.8924967447916666,0.872796630859375,0.9099934895833333
beir,multilingual-e5-small,arguana,128.0,0.16683264581484528,5000,0.0002,0.002,0.21744791666666666,0.1796875,0.2565429687499998,0.4440104166666667,0.39453125,0.4921875,0.9737955729166666,0.965411376953125,0.980712890625
beir,multilingual-e5-small,arguana,256.0,0.10865852949393662,5000,0.0002,0.002,0.6731770833333334,0.62890625,0.71875,0.9010416666666666,0.87109375,0.9296875,0.998046875,0.99609375,0.99951171875
beir,multilingual-e5-small,arguana,512.0,0.0723951243591535,5000,0.0002,0.002,0.9830729166666666,0.96875,0.99609375,0.9986979166666666,0.9921875,1.0,1.0,1.0,1.0
beir,multilingual-e5-small,arguana,1024.0,0.049054348512207455,5000,0.0002,0.002,0.9934895833333334,0.98173828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-small,arguana,2048.0,0.03364862959799442,5000,0.0002,0.002,0.9947916666666666,0.984375,1.0,1.0,1.0,1.0,0.9999593098958334,0.999755859375,1.0
beir,multilingual-e5-small,arguana,4096.0,0.023285155746839942,5000,0.0002,0.002,0.99609375,0.98828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-small,arguana,8192.0,0.01621503157066274,5000,0.0002,0.002,0.99609375,0.98828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
